Formula 1
WalkSAT Run 9: Time=0.6961 seconds, Max satisfied=161
WalkSAT Run 10: Time=0.6875 seconds, Max satisfied=162
Genetic Run 1: Time=2.3855 seconds, Flips=158
Genetic Run 2: Time=2.2217 seconds, Flips=159
Genetic Run 3: Time=2.0282 seconds, Flips=162
Genetic Run 4: Time=2.1320 seconds, Flips=161
Genetic Run 5: Time=1.9727 seconds, Flips=161
Genetic Run 6: Time=1.9842 seconds, Flips=160
Genetic Run 7: Time=2.0212 seconds, Flips=159
Genetic Run 8: Time=2.0188 seconds, Flips=162
Genetic Run 9: Time=2.1104 seconds, Flips=159
Genetic Run 10: Time=2.0158 seconds, Flips=159

Formula 18
DPLL: Time=0.0740 seconds, Nodes expanded=155
WalkSAT Run 1: Time=0.6833 seconds, Max satisfied=162
WalkSAT Run 2: Time=0.6968 seconds, Max satisfied=164
WalkSAT Run 3: Time=0.6656 seconds, Max satisfied=164
WalkSAT Run 4: Time=0.6666 seconds, Max satisfied=163
WalkSAT Run 5: Time=0.6784 seconds, Max satisfied=164
WalkSAT Run 6: Time=0.6878 seconds, Max satisfied=164
WalkSAT Run 7: Time=0.6610 seconds, Max satisfied=165
WalkSAT Run 8: Time=0.6840 seconds, Max satisfied=164
WalkSAT Run 9: Time=0.6727 seconds, Max satisfied=165
WalkSAT Run 10: Time=0.6949 seconds, Max satisfied=164
Genetic Run 1: Time=1.9829 seconds, Flips=162
Genetic Run 2: Time=2.0149 seconds, Flips=159
Genetic Run 3: Time=1.8983 seconds, Flips=159
Genetic Run 4: Time=2.0540 seconds, Flips=160
Genetic Run 5: Time=2.0023 seconds, Flips=159
Genetic Run 6: Time=2.0766 seconds, Flips=160
Genetic Run 7: Time=1.9947 seconds, Flips=164
Genetic Run 8: Time=1.9473 seconds, Flips=157
Genetic Run 9: Time=1.9775 seconds, Flips=161
Genetic Run 10: Time=1.9920 seconds, Flips=160

Formula 19
DPLL: Time=0.0083 seconds, Nodes expanded=28
WalkSAT Run 1: Time=0.6967 seconds, Max satisfied=162
WalkSAT Run 2: Time=0.6666 seconds, Max satisfied=162
WalkSAT Run 3: Time=0.6585 seconds, Max satisfied=162
WalkSAT Run 4: Time=0.6692 seconds, Max satisfied=163
WalkSAT Run 5: Time=0.6632 seconds, Max satisfied=162
WalkSAT Run 6: Time=0.6609 seconds, Max satisfied=162
WalkSAT Run 7: Time=0.6706 seconds, Max satisfied=161
WalkSAT Run 8: Time=0.6631 seconds, Max satisfied=163
WalkSAT Run 9: Time=0.6961 seconds, Max satisfied=161
WalkSAT Run 10: Time=0.6686 seconds, Max satisfied=162
Genetic Run 1: Time=2.0397 seconds, Flips=159
Genetic Run 2: Time=2.0532 seconds, Flips=162
Genetic Run 3: Time=2.0510 seconds, Flips=161
Genetic Run 4: Time=1.9254 seconds, Flips=162
Genetic Run 5: Time=2.0073 seconds, Flips=160
Genetic Run 6: Time=2.0280 seconds, Flips=160
Genetic Run 7: Time=2.0739 seconds, Flips=161
Genetic Run 8: Time=2.0706 seconds, Flips=158
Genetic Run 9: Time=2.0539 seconds, Flips=159
Genetic Run 10: Time=1.9809 seconds, Flips=162

Formula 20
